                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8116,                 3.0424,                 3.5761,                0.70224,                0.57968,                0.61577,                0.29463,                 1.9084,                 1.5601,                 2.5387,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.7523,                 1.4582,                 2.2233,                0.88776,                0.65182,                0.75862,                0.47072,                 1.3908,                 1.0561,                 1.8975,              0.0065966,              0.0065966,              0.0065966
                      3,                 1.4953,                  1.157,                 1.8776,                0.90508,                0.66548,                0.78096,                0.49167,                 1.3529,                0.99941,                 1.8145,               0.009798,               0.009798,               0.009798
                      4,                   1.36,                0.99896,                 1.6978,                0.91701,                0.71608,                0.83826,                0.58128,                 1.1245,                0.77703,                 1.5712,               0.009703,               0.009703,               0.009703
                      5,                 1.2613,                0.88245,                 1.5838,                0.91785,                0.74838,                0.85894,                0.61084,                  1.064,                0.70428,                 1.4929,               0.009604,               0.009604,               0.009604
                      6,                 1.2043,                0.81521,                 1.5153,                0.92381,                0.76111,                0.87098,                0.62206,                 1.0446,                 0.6812,                 1.4633,               0.009505,               0.009505,               0.009505
                      7,                 1.1703,                0.77356,                 1.4751,                0.92686,                0.78104,                 0.8881,                0.64366,                 1.0072,                0.64076,                 1.4216,               0.009406,               0.009406,               0.009406
                      8,                 1.1395,                0.74065,                  1.445,                0.93331,                0.79779,                0.89559,                0.64978,                0.98922,                0.61451,                  1.406,               0.009307,               0.009307,               0.009307
                      9,                 1.1201,                0.71193,                 1.4197,                0.93231,                0.80336,                0.90237,                0.66478,                0.96017,                0.58264,                 1.3726,               0.009208,               0.009208,               0.009208
                     10,                 1.1047,                0.69427,                 1.4004,                0.93935,                0.81728,                0.91035,                0.67433,                0.94227,                0.55851,                 1.3519,               0.009109,               0.009109,               0.009109
                     11,                 1.0842,                0.67718,                 1.3834,                0.93846,                0.82782,                0.91428,                0.67851,                0.92914,                0.54852,                   1.34,                0.00901,                0.00901,                0.00901
                     12,                 1.0739,                 0.6608,                 1.3733,                 0.9407,                0.83229,                0.91991,                 0.6867,                0.92254,                0.52642,                 1.3291,               0.008911,               0.008911,               0.008911
                     13,                 1.0626,                0.64771,                 1.3628,                0.94131,                0.83497,                0.92372,                0.69101,                0.91071,                0.51512,                 1.3175,               0.008812,               0.008812,               0.008812
                     14,                 1.0561,                0.63958,                  1.355,                0.95023,                 0.8371,                0.92847,                0.69642,                0.89783,                0.50345,                 1.3046,               0.008713,               0.008713,               0.008713
                     15,                 1.0489,                0.62876,                 1.3462,                0.94278,                0.84531,                0.92798,                0.69837,                0.89114,                0.49651,                  1.298,               0.008614,               0.008614,               0.008614
                     16,                  1.038,                0.61997,                 1.3351,                0.94942,                 0.8454,                0.93225,                0.70328,                0.88615,                0.48236,                 1.2869,               0.008515,               0.008515,               0.008515
                     17,                 1.0333,                 0.6136,                 1.3281,                0.95178,                0.85008,                0.93345,                 0.7047,                0.88103,                0.47723,                 1.2803,               0.008416,               0.008416,               0.008416
                     18,                 1.0277,                 0.6066,                 1.3218,                0.95197,                0.85207,                0.93582,                0.71091,                0.87102,                0.47359,                 1.2702,               0.008317,               0.008317,               0.008317
                     19,                 1.0143,                0.59437,                  1.312,                0.94649,                0.86003,                0.93852,                0.71237,                0.86931,                0.46342,                 1.2675,               0.008218,               0.008218,               0.008218
                     20,                 1.0119,                0.59409,                 1.3073,                0.94719,                0.86294,                0.94023,                0.71632,                 0.8593,                0.45838,                  1.261,               0.008119,               0.008119,               0.008119
                     21,                 1.0061,                0.58465,                 1.3034,                0.95629,                0.86102,                0.94146,                0.71952,                0.85783,                0.45045,                 1.2556,                0.00802,                0.00802,                0.00802
                     22,                0.99924,                0.57889,                 1.2965,                0.94868,                0.86738,                0.94294,                0.71964,                0.85354,                0.44803,                 1.2509,               0.007921,               0.007921,               0.007921
                     23,                 1.0018,                0.57829,                 1.2946,                0.94811,                0.87275,                0.94465,                0.72166,                0.85247,                0.44277,                 1.2475,               0.007822,               0.007822,               0.007822
                     24,                0.99538,                0.57256,                 1.2883,                 0.9535,                0.87243,                 0.9465,                0.72373,                0.84929,                0.43769,                 1.2453,               0.007723,               0.007723,               0.007723
                     25,                0.99034,                0.56627,                 1.2859,                0.95344,                0.87124,                0.94691,                 0.7268,                0.84232,                 0.4321,                 1.2402,               0.007624,               0.007624,               0.007624
                     26,                0.97911,                0.55752,                 1.2782,                0.95493,                0.87205,                0.94774,                0.72779,                0.84041,                0.43024,                 1.2365,               0.007525,               0.007525,               0.007525
                     27,                0.97893,                0.55611,                 1.2752,                0.95106,                 0.8751,                0.94827,                0.72917,                0.83501,                0.42487,                 1.2292,               0.007426,               0.007426,               0.007426
                     28,                0.97634,                0.55468,                 1.2689,                0.95515,                0.87433,                0.94965,                0.73153,                0.83391,                0.42389,                  1.228,               0.007327,               0.007327,               0.007327
                     29,                0.97298,                0.55058,                 1.2724,                0.95461,                0.87606,                0.95099,                0.73309,                0.83298,                0.42009,                 1.2267,               0.007228,               0.007228,               0.007228
                     30,                0.96832,                0.54891,                 1.2678,                0.95642,                0.87772,                0.95171,                0.73361,                0.83071,                0.41687,                 1.2244,               0.007129,               0.007129,               0.007129
                     31,                 0.9652,                0.54552,                 1.2654,                0.95702,                0.88031,                0.95175,                0.73514,                 0.8277,                0.41399,                 1.2223,                0.00703,                0.00703,                0.00703
                     32,                 0.9682,                0.54479,                 1.2644,                0.95757,                0.88031,                  0.953,                0.73649,                0.82564,                0.41192,                 1.2202,               0.006931,               0.006931,               0.006931
                     33,                0.96131,                 0.5382,                 1.2596,                  0.955,                0.88409,                0.95347,                0.73723,                0.82372,                0.41044,                 1.2182,               0.006832,               0.006832,               0.006832
                     34,                0.95261,                0.53285,                 1.2531,                0.95555,                0.88468,                 0.9535,                0.73844,                0.82152,                0.40773,                 1.2159,               0.006733,               0.006733,               0.006733
                     35,                0.95439,                0.53096,                  1.253,                0.95771,                0.88478,                0.95441,                0.73928,                0.81884,                0.40508,                 1.2133,               0.006634,               0.006634,               0.006634
                     36,                0.95187,                0.53207,                 1.2504,                0.95607,                0.88482,                0.95477,                0.74086,                0.81703,                 0.4034,                  1.211,               0.006535,               0.006535,               0.006535
                     37,                0.95319,                0.52867,                 1.2512,                0.95403,                0.88597,                0.95539,                0.74084,                0.81533,                 0.4024,                 1.2092,               0.006436,               0.006436,               0.006436
                     38,                0.94618,                0.52752,                 1.2457,                0.95672,                0.88555,                0.95513,                0.74102,                0.81386,                0.40072,                 1.2075,               0.006337,               0.006337,               0.006337
                     39,                0.94544,                0.52407,                 1.2411,                0.95819,                0.88623,                0.95536,                0.74139,                0.81319,                 0.4003,                 1.2065,               0.006238,               0.006238,               0.006238
                     40,                0.94374,                 0.5196,                 1.2403,                0.95898,                0.88558,                 0.9555,                0.74158,                0.81246,                0.39933,                 1.2054,               0.006139,               0.006139,               0.006139
                     41,                0.93695,                0.51491,                 1.2334,                0.95851,                0.88648,                0.95552,                 0.7427,                0.81122,                0.39795,                 1.2039,                0.00604,                0.00604,                0.00604
                     42,                0.93478,                0.51574,                 1.2328,                0.95827,                0.88657,                 0.9558,                0.74317,                0.80994,                 0.3964,                 1.2026,               0.005941,               0.005941,               0.005941
                     43,                0.93604,                0.51346,                 1.2309,                0.95904,                0.88697,                0.95585,                0.74386,                 0.8089,                0.39571,                 1.2014,               0.005842,               0.005842,               0.005842
                     44,                0.92659,                0.50593,                 1.2256,                 0.9604,                0.88637,                0.95634,                 0.7436,                0.80817,                0.39481,                 1.2004,               0.005743,               0.005743,               0.005743
                     45,                0.92975,                0.50812,                 1.2253,                0.95923,                0.88657,                 0.9564,                0.74475,                0.80718,                0.39391,                 1.1994,               0.005644,               0.005644,               0.005644
                     46,                0.92344,                0.50478,                 1.2248,                0.95832,                0.88687,                0.95654,                0.74513,                0.80626,                0.39292,                 1.1985,               0.005545,               0.005545,               0.005545
                     47,                0.92435,                0.50385,                 1.2221,                0.95721,                0.88816,                  0.957,                 0.7454,                0.80531,                0.39226,                 1.1976,               0.005446,               0.005446,               0.005446
                     48,                0.93199,                0.50567,                 1.2225,                  0.957,                0.88886,                0.95723,                0.74572,                0.80505,                0.39166,                 1.1969,               0.005347,               0.005347,               0.005347
                     49,                0.92086,                0.50061,                 1.2196,                 0.9568,                0.88945,                0.95754,                0.74626,                0.80422,                0.39113,                 1.1962,               0.005248,               0.005248,               0.005248
                     50,                 0.9168,                0.49738,                 1.2123,                 0.9593,                0.88816,                0.95742,                0.74601,                0.80374,                0.39069,                 1.1954,               0.005149,               0.005149,               0.005149
                     51,                0.91724,                0.49858,                 1.2163,                0.95889,                0.88905,                0.95762,                0.74719,                0.80309,                0.38984,                 1.1947,                0.00505,                0.00505,                0.00505
                     52,                0.91036,                0.49303,                 1.2142,                0.96045,                0.88846,                 0.9576,                0.74749,                0.80252,                0.38916,                  1.194,               0.004951,               0.004951,               0.004951
                     53,                0.91047,                0.49165,                 1.2109,                0.95767,                0.88985,                 0.9579,                0.74772,                0.80173,                0.38856,                 1.1931,               0.004852,               0.004852,               0.004852
                     54,                0.90753,                0.49076,                 1.2074,                0.95716,                0.89065,                0.95797,                0.74798,                0.80121,                0.38782,                 1.1924,               0.004753,               0.004753,               0.004753
                     55,                0.90492,                0.48703,                  1.206,                0.96054,                0.88813,                0.95816,                0.74817,                0.80041,                0.38728,                 1.1915,               0.004654,               0.004654,               0.004654
                     56,                0.90435,                0.48407,                 1.2016,                0.96135,                0.88779,                0.95839,                0.74858,                0.79981,                0.38661,                 1.1906,               0.004555,               0.004555,               0.004555
                     57,                0.90064,                0.48313,                 1.1997,                0.96056,                0.88776,                0.95839,                0.74874,                0.79921,                0.38554,                 1.1899,               0.004456,               0.004456,               0.004456
                     58,                0.89862,                0.48323,                 1.2018,                0.95854,                0.88945,                0.95853,                0.74925,                0.79851,                0.38475,                  1.189,               0.004357,               0.004357,               0.004357
                     59,                0.89604,                0.47984,                 1.1993,                0.95865,                0.88966,                0.95858,                0.74955,                0.79786,                0.38411,                 1.1882,               0.004258,               0.004258,               0.004258
                     60,                0.89781,                 0.4784,                 1.1983,                0.95886,                0.88976,                0.95876,                0.75001,                 0.7973,                0.38339,                 1.1874,               0.004159,               0.004159,               0.004159
                     61,                0.89106,                0.47432,                 1.1935,                0.95896,                0.89055,                0.95911,                0.75063,                0.79678,                0.38281,                 1.1867,                0.00406,                0.00406,                0.00406
                     62,                  0.888,                0.47199,                 1.1916,                0.95914,                0.88985,                0.95927,                0.75122,                0.79618,                0.38219,                 1.1861,               0.003961,               0.003961,               0.003961
                     63,                0.88486,                0.47125,                 1.1893,                0.95997,                0.88935,                0.95934,                 0.7516,                 0.7954,                 0.3815,                 1.1853,               0.003862,               0.003862,               0.003862
                     64,                0.88587,                0.46923,                 1.1896,                0.95947,                0.89045,                0.95933,                0.75184,                0.79481,                0.38075,                 1.1845,               0.003763,               0.003763,               0.003763
                     65,                0.88004,                0.46439,                  1.188,                0.95744,                0.89263,                0.95936,                0.75222,                0.79415,                0.38019,                 1.1839,               0.003664,               0.003664,               0.003664
                     66,                0.88179,                0.46654,                 1.1869,                0.95661,                0.89283,                 0.9595,                0.75204,                0.79355,                0.37972,                  1.183,               0.003565,               0.003565,               0.003565
                     67,                0.87851,                0.46475,                 1.1847,                0.95773,                0.89207,                0.95961,                0.75207,                0.79273,                0.37903,                 1.1822,               0.003466,               0.003466,               0.003466
                     68,                0.88002,                 0.4622,                 1.1835,                 0.9576,                0.89224,                0.95997,                0.75272,                0.79204,                0.37844,                 1.1812,               0.003367,               0.003367,               0.003367
                     69,                0.87271,                 0.4584,                 1.1769,                0.95834,                0.89185,                0.96008,                0.75295,                0.79134,                0.37789,                 1.1804,               0.003268,               0.003268,               0.003268
                     70,                0.87206,                 0.4587,                 1.1785,                0.96004,                 0.8909,                 0.9601,                0.75323,                0.79087,                0.37716,                 1.1797,               0.003169,               0.003169,               0.003169
                     71,                0.86987,                0.45733,                 1.1781,                0.95946,                0.89161,                0.96022,                0.75286,                0.79034,                0.37637,                  1.179,                0.00307,                0.00307,                0.00307
                     72,                0.86406,                0.45182,                 1.1745,                 0.9598,                0.89184,                 0.9602,                0.75319,                 0.7898,                0.37576,                 1.1783,               0.002971,               0.002971,               0.002971
                     73,                 0.8653,                0.45306,                 1.1732,                0.95946,                0.89253,                 0.9601,                0.75368,                0.78927,                0.37529,                 1.1776,               0.002872,               0.002872,               0.002872
                     74,                0.86125,                0.44879,                 1.1683,                0.95892,                0.89347,                0.96024,                0.75421,                0.78851,                0.37495,                 1.1768,               0.002773,               0.002773,               0.002773
                     75,                0.85727,                0.44761,                 1.1681,                0.95924,                 0.8938,                 0.9605,                0.75478,                0.78785,                0.37437,                 1.1759,               0.002674,               0.002674,               0.002674
                     76,                0.85332,                0.44283,                 1.1646,                0.95919,                0.89422,                0.96075,                0.75502,                0.78715,                0.37372,                 1.1752,               0.002575,               0.002575,               0.002575
                     77,                0.85534,                0.44465,                  1.166,                0.95857,                0.89492,                0.96089,                0.75521,                0.78655,                0.37314,                 1.1744,               0.002476,               0.002476,               0.002476
                     78,                0.85046,                0.44421,                 1.1641,                0.95823,                0.89522,                0.96114,                0.75566,                0.78572,                0.37257,                 1.1736,               0.002377,               0.002377,               0.002377
                     79,                0.84874,                0.44073,                 1.1591,                0.95854,                0.89552,                0.96126,                0.75624,                0.78505,                0.37196,                 1.1728,               0.002278,               0.002278,               0.002278
                     80,                0.84637,                0.43875,                 1.1594,                0.95815,                0.89552,                0.96149,                0.75633,                0.78449,                0.37153,                 1.1721,               0.002179,               0.002179,               0.002179
                     81,                0.84464,                0.43653,                 1.1591,                 0.9592,                0.89532,                0.96163,                0.75652,                0.78377,                0.37091,                 1.1712,                0.00208,                0.00208,                0.00208
                     82,                0.84278,                0.43456,                 1.1573,                 0.9596,                0.89422,                0.96192,                 0.7572,                0.78301,                0.37034,                 1.1703,               0.001981,               0.001981,               0.001981
                     83,                0.84198,                0.43181,                  1.155,                0.95982,                0.89432,                0.96223,                0.75743,                0.78242,                0.36966,                 1.1695,               0.001882,               0.001882,               0.001882
                     84,                0.83482,                0.43073,                 1.1518,                0.95931,                0.89462,                0.96222,                0.75831,                0.78162,                0.36923,                 1.1686,               0.001783,               0.001783,               0.001783
                     85,                0.83245,                0.42822,                   1.15,                0.95862,                0.89595,                0.96234,                0.75909,                0.78088,                0.36849,                 1.1677,               0.001684,               0.001684,               0.001684
                     86,                0.83268,                0.42644,                 1.1495,                0.96073,                0.89495,                0.96242,                0.75924,                0.78012,                0.36806,                 1.1668,               0.001585,               0.001585,               0.001585
                     87,                0.82753,                0.42206,                 1.1454,                0.96089,                0.89581,                0.96253,                0.75978,                0.77947,                0.36747,                 1.1661,               0.001486,               0.001486,               0.001486
                     88,                0.82422,                0.42145,                 1.1434,                0.96056,                0.89578,                0.96267,                0.76044,                0.77887,                 0.3669,                 1.1654,               0.001387,               0.001387,               0.001387
                     89,                0.82244,                0.42014,                 1.1417,                0.96123,                0.89562,                0.96278,                0.76054,                0.77817,                0.36628,                 1.1646,               0.001288,               0.001288,               0.001288
                     90,                0.82069,                0.41798,                 1.1407,                0.96098,                0.89608,                0.96296,                 0.7607,                0.77762,                0.36554,                 1.1638,               0.001189,               0.001189,               0.001189
                     91,                0.76645,                0.37055,                 1.1198,                 0.9607,                0.89671,                0.96315,                0.76086,                0.77718,                0.36501,                 1.1632,                0.00109,                0.00109,                0.00109
                     92,                0.75911,                0.36449,                 1.1089,                0.96032,                0.89754,                0.96323,                 0.7612,                0.77645,                 0.3646,                 1.1622,               0.000991,               0.000991,               0.000991
                     93,                0.75241,                0.36172,                 1.1072,                0.96011,                0.89731,                0.96336,                0.76196,                 0.7757,                0.36396,                 1.1614,               0.000892,               0.000892,               0.000892
                     94,                0.74859,                0.35733,                 1.1044,                0.96102,                 0.8979,                0.96368,                0.76242,                0.77499,                0.36342,                 1.1606,               0.000793,               0.000793,               0.000793
                     95,                0.74395,                0.35564,                 1.0991,                0.95994,                0.89799,                0.96371,                 0.7623,                0.77433,                0.36289,                 1.1598,               0.000694,               0.000694,               0.000694
